0.8688688688688688--0.33664369583129883--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8822155488822155--0.3396792411804199--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8668668668668669--0.3365914821624756--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8815482148815482--0.3289053440093994--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.870704037370704--0.33660268783569336--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8852185518852186--0.33357715606689453--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.85669002335669--0.332125186920166--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8852185518852186--0.32871103286743164--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8708708708708709--0.34360623359680176--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'rnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8718718718718719--0.3485722541809082--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'rnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
0.8677010343677011--0.34211158752441406--{'model_path': 'output', 'train_data_path': './data/train_data_news.json', 'valid_data_path': './data/valid_data_news.json', 'vocab_path': './data/chars.txt', 'model_type': 'rnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'C:\\\\Users\\\\Administrator\\\\Desktop\\\\homework\\\\bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4624}
