timing_now,model_type,epoch,learning_rate,hidden_size,batch_size,pooling_style,dropout,time_spent,accuracy
2025-07-15 00:31:44,fast_text,15,0.001,128,64,avg,0.3,16.2858,0.8832360300250208
2025-07-15 00:32:01,fast_text,15,0.001,128,64,avg,0.5,16.6787,0.877814845704754
2025-07-15 00:32:17,fast_text,15,0.001,128,64,max,0.3,16.6945,0.8686405337781484
2025-07-15 00:32:34,fast_text,15,0.001,128,64,max,0.5,16.6380,0.8211009174311926
2025-07-15 00:32:48,fast_text,15,0.001,128,128,avg,0.3,13.7086,0.8765638031693077
2025-07-15 00:33:02,fast_text,15,0.001,128,128,avg,0.5,13.8530,0.8740617180984154
2025-07-15 00:33:16,fast_text,15,0.001,128,128,max,0.3,14.1536,0.8623853211009175
2025-07-15 00:33:30,fast_text,15,0.001,128,128,max,0.5,14.1914,0.8248540450375312
2025-07-15 00:33:42,fast_text,15,0.001,64,64,avg,0.3,12.1733,0.8794829024186822
2025-07-15 00:33:54,fast_text,15,0.001,64,64,avg,0.5,11.8414,0.8761467889908257
2025-07-15 00:34:06,fast_text,15,0.001,64,64,max,0.3,11.7599,0.8573811509591326
2025-07-15 00:34:18,fast_text,15,0.001,64,64,max,0.5,12.2448,0.8432026688907422
2025-07-15 00:34:27,fast_text,15,0.001,64,128,avg,0.3,8.8096,0.8769808173477899
2025-07-15 00:34:36,fast_text,15,0.001,64,128,avg,0.5,8.7099,0.8678065054211843
2025-07-15 00:34:45,fast_text,15,0.001,64,128,max,0.3,9.0153,0.859883236030025
2025-07-15 00:34:54,fast_text,15,0.001,64,128,max,0.5,8.8869,0.8311092577147623
2025-07-15 00:35:10,fast_text,15,0.0001,128,64,avg,0.3,16.1782,0.8244370308590492
2025-07-15 00:35:26,fast_text,15,0.0001,128,64,avg,0.5,16.5920,0.8081734778982486
2025-07-15 00:35:43,fast_text,15,0.0001,128,64,max,0.3,17.1174,0.7756463719766472
2025-07-15 00:36:00,fast_text,15,0.0001,128,64,max,0.5,16.9662,0.786488740617181
2025-07-15 00:36:14,fast_text,15,0.0001,128,128,avg,0.3,13.4657,0.7935779816513762
2025-07-15 00:36:28,fast_text,15,0.0001,128,128,avg,0.5,13.8244,0.7518765638031694
2025-07-15 00:36:42,fast_text,15,0.0001,128,128,max,0.3,13.8923,0.7793994995829858
2025-07-15 00:36:56,fast_text,15,0.0001,128,128,max,0.5,13.9366,0.7572977481234362
2025-07-15 00:37:08,fast_text,15,0.0001,64,64,avg,0.3,11.9100,0.8085904920767306
2025-07-15 00:37:20,fast_text,15,0.0001,64,64,avg,0.5,12.3750,0.76814011676397
2025-07-15 00:37:32,fast_text,15,0.0001,64,64,max,0.3,11.8867,0.7839866555462885
2025-07-15 00:37:44,fast_text,15,0.0001,64,64,max,0.5,11.9919,0.75604670558799
2025-07-15 00:37:53,fast_text,15,0.0001,64,128,avg,0.3,8.8469,0.6989157631359466
2025-07-15 00:38:02,fast_text,15,0.0001,64,128,avg,0.5,8.8856,0.7080900750625522
2025-07-15 00:38:11,fast_text,15,0.0001,64,128,max,0.3,8.9360,0.737281067556297
2025-07-15 00:38:19,fast_text,15,0.0001,64,128,max,0.5,8.8912,0.7114261884904087
2025-07-15 00:39:57,lstm,15,0.001,128,64,avg,0.3,97.2153,0.8794829024186822
2025-07-15 00:41:36,lstm,15,0.001,128,64,avg,0.5,99.1688,0.8857381150959133
2025-07-15 00:43:14,lstm,15,0.001,128,64,max,0.3,98.3526,0.8869891576313594
2025-07-15 00:44:55,lstm,15,0.001,128,64,max,0.5,100.3631,0.8911592994161801
2025-07-15 00:46:11,lstm,15,0.001,128,128,avg,0.3,76.3880,0.8807339449541285
2025-07-15 00:47:28,lstm,15,0.001,128,128,avg,0.5,76.7252,0.8940783986655546
2025-07-15 00:48:46,lstm,15,0.001,128,128,max,0.3,78.0215,0.8798999165971643
2025-07-15 00:50:04,lstm,15,0.001,128,128,max,0.5,77.8802,0.890742285237698
2025-07-15 00:51:02,lstm,15,0.001,64,64,avg,0.3,58.3003,0.8857381150959133
2025-07-15 00:52:00,lstm,15,0.001,64,64,avg,0.5,57.8842,0.8861551292743953
2025-07-15 00:52:57,lstm,15,0.001,64,64,max,0.3,56.7628,0.8861551292743953
2025-07-15 00:53:54,lstm,15,0.001,64,64,max,0.5,57.4915,0.8928273561301084
2025-07-15 00:54:38,lstm,15,0.001,64,128,avg,0.3,43.4270,0.8890742285237698
2025-07-15 00:55:21,lstm,15,0.001,64,128,avg,0.5,43.1775,0.8836530442035029
2025-07-15 00:56:04,lstm,15,0.001,64,128,max,0.3,43.4000,0.8869891576313594
2025-07-15 00:56:48,lstm,15,0.001,64,128,max,0.5,43.6859,0.8869891576313594
2025-07-15 00:58:26,lstm,15,0.0001,128,64,avg,0.3,98.1000,0.8844870725604671
2025-07-15 01:00:05,lstm,15,0.0001,128,64,avg,0.5,99.4125,0.8757297748123436
2025-07-15 01:01:43,lstm,15,0.0001,128,64,max,0.3,97.7507,0.8857381150959133
2025-07-15 01:03:22,lstm,15,0.0001,128,64,max,0.5,99.3378,0.8673894912427023
2025-07-15 01:04:38,lstm,15,0.0001,128,128,avg,0.3,75.7435,0.8711426188490409
2025-07-15 01:05:55,lstm,15,0.0001,128,128,avg,0.5,77.0414,0.871976647206005
2025-07-15 01:07:12,lstm,15,0.0001,128,128,max,0.3,76.4380,0.8857381150959133
2025-07-15 01:08:30,lstm,15,0.0001,128,128,max,0.5,77.9894,0.8673894912427023
2025-07-15 01:09:30,lstm,15,0.0001,64,64,avg,0.3,60.2052,0.8623853211009175
2025-07-15 01:10:32,lstm,15,0.0001,64,64,avg,0.5,61.7177,0.8557130942452044
2025-07-15 01:11:33,lstm,15,0.0001,64,64,max,0.3,61.0586,0.871976647206005
2025-07-15 01:12:34,lstm,15,0.0001,64,64,max,0.5,61.2071,0.8628023352793995
2025-07-15 01:13:18,lstm,15,0.0001,64,128,avg,0.3,44.4597,0.8611342785654712
2025-07-15 01:14:02,lstm,15,0.0001,64,128,avg,0.5,43.8633,0.8582151793160967
2025-07-15 01:14:47,lstm,15,0.0001,64,128,max,0.3,44.5246,0.8603002502085071
2025-07-15 01:15:31,lstm,15,0.0001,64,128,max,0.5,44.2993,0.8628023352793995
2025-07-15 01:16:50,gru,15,0.001,128,64,avg,0.3,79.1323,0.8757297748123436
2025-07-15 01:18:13,gru,15,0.001,128,64,avg,0.5,82.4735,0.8849040867389492
2025-07-15 01:19:34,gru,15,0.001,128,64,max,0.3,81.0454,0.8824020016680567
2025-07-15 01:20:54,gru,15,0.001,128,64,max,0.5,80.0955,0.8811509591326105
2025-07-15 01:22:05,gru,15,0.001,128,128,avg,0.3,71.4458,0.8832360300250208
2025-07-15 01:23:17,gru,15,0.001,128,128,avg,0.5,71.8328,0.8844870725604671
2025-07-15 01:24:29,gru,15,0.001,128,128,max,0.3,71.5588,0.8824020016680567
2025-07-15 01:25:42,gru,15,0.001,128,128,max,0.5,72.7637,0.890742285237698
2025-07-15 01:26:32,gru,15,0.001,64,64,avg,0.3,50.6821,0.8924103419516264
2025-07-15 01:27:22,gru,15,0.001,64,64,avg,0.5,49.8404,0.8882402001668057
2025-07-15 01:28:12,gru,15,0.001,64,64,max,0.3,50.1560,0.8824020016680567
2025-07-15 01:29:02,gru,15,0.001,64,64,max,0.5,49.5095,0.8869891576313594
2025-07-15 01:29:38,gru,15,0.001,64,128,avg,0.3,36.2577,0.8815679733110926
2025-07-15 01:30:16,gru,15,0.001,64,128,avg,0.5,37.6305,0.8824020016680567
2025-07-15 01:30:54,gru,15,0.001,64,128,max,0.3,38.4529,0.8953294412010009
2025-07-15 01:31:32,gru,15,0.001,64,128,max,0.5,37.8354,0.890325271059216
2025-07-15 01:32:57,gru,15,0.0001,128,64,avg,0.3,84.9184,0.8832360300250208
2025-07-15 01:34:23,gru,15,0.0001,128,64,avg,0.5,86.2659,0.872393661384487
2025-07-15 01:35:47,gru,15,0.0001,128,64,max,0.3,83.5730,0.8878231859883235
2025-07-15 01:37:11,gru,15,0.0001,128,64,max,0.5,83.8516,0.872393661384487
2025-07-15 01:38:26,gru,15,0.0001,128,128,avg,0.3,75.1968,0.8769808173477899
2025-07-15 01:39:40,gru,15,0.0001,128,128,avg,0.5,73.7398,0.8669724770642202
2025-07-15 01:40:58,gru,15,0.0001,128,128,max,0.3,78.1163,0.8773978315262719
2025-07-15 01:42:15,gru,15,0.0001,128,128,max,0.5,77.5323,0.8711426188490409
2025-07-15 01:43:09,gru,15,0.0001,64,64,avg,0.3,53.1855,0.8698915763135947
2025-07-15 01:44:01,gru,15,0.0001,64,64,avg,0.5,52.6972,0.8544620517097581
2025-07-15 01:44:54,gru,15,0.0001,64,64,max,0.3,52.8501,0.8744787322768974
2025-07-15 01:45:46,gru,15,0.0001,64,64,max,0.5,52.2684,0.8544620517097581
2025-07-15 01:46:25,gru,15,0.0001,64,128,avg,0.3,38.2935,0.8623853211009175
2025-07-15 01:47:03,gru,15,0.0001,64,128,avg,0.5,38.3246,0.8498748957464554
2025-07-15 01:47:41,gru,15,0.0001,64,128,max,0.3,37.7920,0.8665554628857381
2025-07-15 01:48:19,gru,15,0.0001,64,128,max,0.5,38.0712,0.8473728106755629
2025-07-15 01:48:59,rnn,15,0.001,128,64,avg,0.3,40.0552,0.8861551292743953
2025-07-15 01:49:38,rnn,15,0.001,128,64,avg,0.5,39.1963,0.890325271059216
2025-07-15 01:50:17,rnn,15,0.001,128,64,max,0.3,39.1294,0.8869891576313594
2025-07-15 01:50:57,rnn,15,0.001,128,64,max,0.5,39.2502,0.8861551292743953
2025-07-15 01:51:26,rnn,15,0.001,128,128,avg,0.3,29.2567,0.8911592994161801
2025-07-15 01:51:56,rnn,15,0.001,128,128,avg,0.5,29.6126,0.8769808173477899
2025-07-15 01:52:25,rnn,15,0.001,128,128,max,0.3,29.3103,0.8899082568807339
2025-07-15 01:52:55,rnn,15,0.001,128,128,max,0.5,30.2439,0.8824020016680567
2025-07-15 01:53:23,rnn,15,0.001,64,64,avg,0.3,27.8954,0.8924103419516264
2025-07-15 01:53:51,rnn,15,0.001,64,64,avg,0.5,28.0436,0.8844870725604671
2025-07-15 01:54:19,rnn,15,0.001,64,64,max,0.3,28.1882,0.8828190158465388
2025-07-15 01:54:49,rnn,15,0.001,64,64,max,0.5,29.3442,0.8815679733110926
2025-07-15 01:55:09,rnn,15,0.001,64,128,avg,0.3,20.0108,0.8815679733110926
2025-07-15 01:55:29,rnn,15,0.001,64,128,avg,0.5,19.9492,0.878231859883236
2025-07-15 01:55:49,rnn,15,0.001,64,128,max,0.3,20.3420,0.8886572143452878
2025-07-15 01:56:09,rnn,15,0.001,64,128,max,0.5,20.4076,0.8824020016680567
2025-07-15 01:56:50,rnn,15,0.0001,128,64,avg,0.3,40.8917,0.8707256046705588
2025-07-15 01:57:31,rnn,15,0.0001,128,64,avg,0.5,40.5059,0.8586321934945789
2025-07-15 01:58:12,rnn,15,0.0001,128,64,max,0.3,40.7020,0.872393661384487
2025-07-15 01:58:52,rnn,15,0.0001,128,64,max,0.5,40.7687,0.8678065054211843
2025-07-15 01:59:24,rnn,15,0.0001,128,128,avg,0.3,32.0341,0.8690575479566305
2025-07-15 01:59:57,rnn,15,0.0001,128,128,avg,0.5,32.8521,0.8532110091743119
2025-07-15 02:00:31,rnn,15,0.0001,128,128,max,0.3,33.7440,0.871976647206005
2025-07-15 02:01:04,rnn,15,0.0001,128,128,max,0.5,33.3177,0.8577981651376146
2025-07-15 02:01:34,rnn,15,0.0001,64,64,avg,0.3,29.6786,0.8532110091743119
2025-07-15 02:02:03,rnn,15,0.0001,64,64,avg,0.5,29.3220,0.8319432860717264
2025-07-15 02:02:33,rnn,15,0.0001,64,64,max,0.3,29.8032,0.8607172643869891
