模型名称	位置编码	Transformer结构	多头机制	FFN层设计	归一化层选择	激活函数	是否使用bias
Baichuan2-7B	RoPE	串行	MHA	SwiGLU	RMSNorm (Pre)	SiLU	无bias (已验证)
Baichuan2-13B	RoPE	串行	MHA	SwiGLU	RMSNorm (Pre)	SiLU	无bias
ChatGLM2	RoPE	串行	GQA	SwiGLU	RMSNorm (Pre)	SiLU	QKV有bias，其他无
LLaMA2	RoPE	串行	GQA	SwiGLU	RMSNorm (Pre)	SiLU	无bias
MOSS	RoPE	串行	MHA	标准FFN	LayerNorm	GELU-new	SA无bias, FF有bias
DeepSeek-V3	RoPE	串行	MHA	SwiGLU	RMSNorm (Pre)	SiLU	无bias
Qwen2-MoE	RoPE	串行	MHA	SwiGLU	RMSNorm (Pre)	SiLU	无bias
GPT-2	Learned	串行	MHA	标准FFN	LayerNorm (Pre)	GELU	有bias
T5	相对位置编码	编码器-解码器	MHA	标准FFN	LayerNorm (Pre)	ReLU	有bias
ViT	Sinusoidal	串行	MHA	标准FFN	LayerNorm (Pre)	GELU	有bias
