model	learn_rate	hidden_size	acc
bert	0.001	128	0.645
bert	0.001	128	0.355
bert	0.001	128	0.645
bert	0.001	128	0.645
bert	0.0001	128	0.89
bert	0.0001	128	0.865
bert	0.0001	128	0.84
bert	0.0001	128	0.87
lstm	0.001	128	0.77
lstm	0.001	128	0.84
lstm	0.001	128	0.77
lstm	0.001	128	0.85
lstm	0.0001	128	0.77
lstm	0.0001	128	0.675
lstm	0.0001	128	0.645
lstm	0.0001	128	0.645
cnn	0.001	128	0.825
cnn	0.001	128	0.86
cnn	0.001	128	0.845
cnn	0.001	128	0.845
cnn	0.0001	128	0.795
cnn	0.0001	128	0.82
cnn	0.0001	128	0.725
cnn	0.0001	128	0.78
