对比结果：
model            lr           hidden_size  batch_size   pooling_style acc      time(ms)
fast_text        0.001        128          64           avg          0.8912   0.1585
fast_text        0.001        128          64           max          0.8812   0.1729
fast_text        0.001        128          128          avg          0.8907   0.0000
fast_text        0.001        128          128          max          0.8741   0.0000
fast_text        0.0001       128          64           avg          0.8278   0.1640
fast_text        0.0001       128          64           max          0.8073   0.1616
fast_text        0.0001       128          128          avg          0.7994   0.0000
fast_text        0.0001       128          128          max          0.7673   0.0000
cnn              0.001        128          64           avg          0.8774   0.2627
cnn              0.001        128          64           max          0.8866   0.2894
cnn              0.001        128          128          avg          0.8841   0.0000
cnn              0.001        128          128          max          0.8962   0.0000
cnn              0.0001       128          64           avg          0.8682   0.2863
cnn              0.0001       128          64           max          0.8991   0.2618
cnn              0.0001       128          128          avg          0.8590   0.0000
cnn              0.0001       128          128          max          0.8924   0.0000
bert             0.001        768          64           avg          0.6647   7.3378
bert             0.001        768          64           max          0.6647   7.4086
bert             0.001        768          128          avg          0.6647   0.0000
bert             0.001        768          128          max          0.6647   0.0000
bert             0.0001       768          64           avg          0.8953   7.7980
bert             0.0001       768          64           max          0.8982   7.2806
bert             0.0001       768          128          avg          0.8916   0.0000
bert             0.0001       768          128          max          0.8957   0.0000
gated_cnn        0.001        128          64           avg          0.8774   0.4261
gated_cnn        0.001        128          64           max          0.8912   0.4096
gated_cnn        0.001        128          128          avg          0.8803   0.0000
gated_cnn        0.001        128          128          max          0.8916   0.0000
gated_cnn        0.0001       128          64           avg          0.8907   0.3982
gated_cnn        0.0001       128          64           max          0.8966   0.4134
gated_cnn        0.0001       128          128          avg          0.8791   0.0000
gated_cnn        0.0001       128          128          max          0.8912   0.0000
stack_gated_cnn  0.001        128          64           avg          0.8791   1.1053
stack_gated_cnn  0.001        128          64           max          0.8770   1.1158
stack_gated_cnn  0.001        128          128          avg          0.8749   0.0000
stack_gated_cnn  0.001        128          128          max          0.8945   0.0000
stack_gated_cnn  0.0001       128          64           avg          0.8970   1.1208
stack_gated_cnn  0.0001       128          64           max          0.9045   1.0319
stack_gated_cnn  0.0001       128          128          avg          0.8849   0.0000
stack_gated_cnn  0.0001       128          128          max          0.9037   0.0000
bert_lstm        0.001        768          64           avg          0.6647   7.7887
bert_lstm        0.001        768          64           max          0.6647   7.7040
bert_lstm        0.001        768          128          avg          0.6647   0.0000
bert_lstm        0.001        768          128          max          0.6647   0.0000
bert_lstm        0.0001       768          64           avg          0.6647   7.6196
bert_lstm        0.0001       768          64           max          0.6647   7.7176
bert_lstm        0.0001       768          128          avg          0.6647   0.0000
bert_lstm        0.0001       768          128          max          0.6647   0.0000
rnn              0.001        128          64           avg          0.8820   0.4661
rnn              0.001        128          64           max          0.8853   0.4468
rnn              0.001        128          128          avg          0.8774   0.0000
rnn              0.001        128          128          max          0.8820   0.0000
rnn              0.0001       128          64           avg          0.8891   0.4725
rnn              0.0001       128          64           max          0.8845   0.4725
rnn              0.0001       128          128          avg          0.8766   0.0000
rnn              0.0001       128          128          max          0.8849   0.0000
lstm             0.001        128          64           avg          0.8749   0.4742
lstm             0.001        128          64           max          0.8757   0.4625
lstm             0.001        128          128          avg          0.8770   0.0000
lstm             0.001        128          128          max          0.8761   0.0000
lstm             0.0001       128          64           avg          0.8845   0.4697
lstm             0.0001       128          64           max          0.8945   0.4458
lstm             0.0001       128          128          avg          0.8899   0.0000
lstm             0.0001       128          128          max          0.8916   0.0000
bert_cnn         0.001        768          64           avg          0.6647   7.5686
bert_cnn         0.001        768          64           max          0.6647   7.4592
bert_cnn         0.001        768          128          avg          0.6647   0.0000
bert_cnn         0.001        768          128          max          0.6647   0.0000
bert_cnn         0.0001       768          64           avg          0.7364   7.6277
bert_cnn         0.0001       768          64           max          0.6647   7.6325
bert_cnn         0.0001       768          128          avg          0.6647   0.0000
bert_cnn         0.0001       768          128          max          0.8786   0.0000
最佳模型配置： {'model': 'lstm', 'learning_rate': 0.0001, 'hidden_size': 128, 'batch_size': 64, 'pooling_style': 'max', 'acc': 0.8944954128440367, 'time': 0.4458427429199219}
最佳模型配置： {'model': 'cnn', 'learning_rate': 0.0001, 'hidden_size': 128, 'batch_size': 64, 'pooling_style': 'max', 'acc': 0.8990825688073395, 'time': 0.2617835998535156}
最佳模型配置： {'model': 'stack_gated_cnn', 'learning_rate': 0.0001, 'hidden_size': 128, 'batch_size': 64, 'pooling_style': 'max', 'acc': 0.9045037531276063, 'time': 1.0318756103515625}
