模型,位置编码,transformer结构,多头机制,ff层设计,归一化层选择,激活函数,是否使用bias
baichuan2-7b,RoPE,串行,传统方式,gated形式,RMSnorm/pre norm,SiLU,无bias
baichuan2-13b,Alibi,串行,传统方式,gated形式,RMSnorm/pre norm,SiLU,无bias
chatglm2,RoPE,串行,multi query,gated形式,RMSnorm/pre norm,SiLU,qkv有bias，其他线性层无bias
llama2,RoPE,串行,multi query,gated形式,RMSnorm/pre norm,SiLU,无bias
moss,RoPE,平行,传统方式,传统方式,LayerNorm,gelu_new,sa无bias, ff有bias
gpt-3,正弦位置编码,平行,传统方式,传统MLP,LayerNorm/pre norm,GeLU,有bias
t5,相对位置编码（偏置法）,串行,传统方式,Gated（GeGLU）,LayerNorm/post norm,GeGLU,无bias
bert,可学习绝对位置编码,平行,传统方式,传统MLP,LayerNorm,GeLU,有bias
bloom,Alibi,平行,传统方式,传统MLP,LayerNorm/pre norm,GeLU,有bias
qwen,RoPE,平行,multi query/GQA,gated形式,RMSnorm/pre norm,SiLU,无bias
internlm,RoPE,平行,multi query,gated形式,RMSnorm/pre norm,SiLU,无bias
aquila,RoPE,平行,传统方式,gated形式,RMSnorm/pre norm,SiLU,无bias
yi,RoPE,平行,multi query,gated形式,RMSnorm/pre norm,SiLU,无bias
falcon,RoPE,平行,multi query,gated形式,RMSnorm/pre norm,GELU,无bias
rwkv,无传统位置编码,循环结构,无多头机制,时间混合+通道混合,RMSNorm,SiLU,部分有bias
